code,component,property,time_aspect,system,scale_type,method_type,long_common_name,short_name
42621-3,Mycoplasma hominis DNA,PrThr,Pt,Bld,Ord,Probe.amp.tar,"Mycoplasma hominis PCR, B","Mycoplasma hominis PCR, B"
4084-0,Trimipramine,PrThr,Pt,Urine,Ord,,Trimipramine,Trimipramine
44877-9,Insulin dependent diabetes mellitus,PrThr,Pt,^Patient,Ord,,Insulin Req Maternal Diabetes,Insulin Req Maternal Diabetes
43595-8,Methadone,PrThr,Pt,Meconium,Ord,,Methadone,Methadone
45182-3,HIV phenotype,Susc,Pt,Isolate,Nom,Phenotyping,Phenosense Entry Fuzeon,Phenosense Entry Fuzeon
49586-1,First & Second trimester integrated maternal screen,Imp,Pt,^Patient,Nom,,Maternal Screen Interpretation,Maternal Screen Interpretation
85369-7,Neutrophils,NCnc,Pt,Bld^Control,Qn,Flow cytometry,Control Absolute Neutrophil Count,Control Absolute Neutrophil Count
8172-9,Cannabinoids,PrThr,Pt,Ser/Plas,Ord,Screen,Cannabinoids,Cannabinoids
80603-4,Coagulation factor XI inhibitor,PrThr,Pt,PPP,Ord,Coag,Factor XI Inhib Scrn,Factor XI Inhib Scrn
7431-0,Toluene diisocyanate (TDI) Ab.IgE,ACnc,Pt,Ser,Qn,,"Isocyanate TDI, IgE","Isocyanate TDI, IgE"
30519-3,Chenodeoxycholate,SCnc,Pt,Ser/Plas,Qn,,Chenodeoxycholic acid,Chenodeoxycholic acid
30052-5,Isoleucine/Creatinine,Ratio,Pt,Urine,Qn,,Isoleucine,Isoleucine
30053-3,Leucine/Creatinine,Ratio,Pt,Urine,Qn,,Leucine,Leucine
30054-1,Tyrosine/Creatinine,Ratio,Pt,Urine,Qn,,Tyrosine,Tyrosine
3002-3,Thiocyanate,MCnc,Pt,Ser/Plas,Qn,,Thiocyanate,Thiocyanate
24119-0,Cytomegalovirus Ab.IgM,PrThr,Pt,Ser/Plas,Ord,IA,"Cytomegalovirus Ab, IgM, S","Cytomegalovirus Ab, IgM, S"
